Cod_SBS,Cod_Emp,Tip_Credit,Nivel2,Moneda,SubCodigoCuenta,Condicion,Val_Saldo,Clasif_Deu,Cod_Cuenta
0038518267,00145,11,14,1,50302020000,014900,0000,0,14150302020000
0038518267,00140,11,81,1,30200000000,042700,0000,0,81130200000000
0038518267,00145,11,14,1,90301000000,000000,0000,0,14190301000000
0038518267,00145,11,81,1,92300000000,000000,0000,0,81192300000000
0029280002,00480,12,81,1,30200000000,623300,0000,0,81130200000000
0016584398,00480,12,81,1,30200000000,687900,0000,0,81130200000000
0016584398,00480,12,81,2,30200000000,799100,0000,0,81230200000000
0050957942,00001,10,81,1,30200000000,469700,0000,0,81130200000000
0015096683,00228,10,81,1,30200000000,520300,0000,0,81130200000000
0015096683,00228,10,81,1,30200000000,519600,0000,0,81130200000000
0015096683,00228,10,81,1,30200000000,518600,0000,0,81130200000000
0060727236,00228,10,81,1,30200000000,513800,0000,0,81130200000000
0010231183,00002,11,72,1,50603000000,000000,0000,0,72150603000000
0010231183,00002,11,81,1,92300000000,000000,0000,0,81192300000000
0031769230,00061,12,14,1,90306000000,000000,0000,0,14190306000000
0031769230,00061,12,14,1,80300000000,000000,0000,0,14180300000000
0031769230,00072,11,72,1,50603000000,000000,0000,0,72150603000000
0031769230,00061,12,81,1,93703010000,000000,0000,0,81193703010000
0031769230,00072,11,81,1,92300000000,000000,0000,0,81192300000000
0031769230,00061,12,14,1,10306030000,000000,0000,0,14110306030000
0021101117,00104,11,72,1,50303010000,000000,0000,0,72150303010000
0021101117,00061,12,14,1,80300000000,000000,0000,0,14180300000000
0021101117,00061,12,14,1,10306030000,000000,0000,0,14110306030000
0021101117,00104,99,84,1,40900000000,000000,0000,0,84140900000000
0021101117,00104,12,14,1,90306000000,000000,0000,0,14190306000000
0021101117,00104,12,14,1,80300000000,000000,0000,0,14180300000000
0021101117,00104,12,14,1,10313000000,000000,0000,0,14110313000000
0021101117,00104,11,14,1,80300000000,000000,0000,0,14180300000000
0021101117,00061,12,14,1,90306000000,000000,0000,0,14190306000000
0021101117,00061,12,81,1,93703010000,000000,0000,0,81193703010000
0021101117,00104,11,29,1,10101000000,000000,0000,0,29110101000000
0021101117,00104,11,14,1,10306010000,000000,0000,0,14110306010000
0021101117,00104,11,14,1,90306000000,000000,0000,0,14190306000000
0021101117,00104,11,81,1,93703010000,000000,0000,0,81193703010000
0054255306,00072,11,72,1,50603000000,000000,0000,0,72150603000000
0054255306,00072,11,14,1,90306000000,000000,0000,0,14190306000000
0054255306,00001,11,14,1,80300000000,000000,0000,0,14180300000000
0054255306,00104,12,14,1,90306000000,000000,0000,0,14190306000000
0054255306,00072,11,14,1,80300000000,000000,0000,0,14180300000000
0054255306,00104,12,81,1,93703010000,000000,0000,0,81193703010000
0054255306,00001,11,81,1,92300000000,000000,0000,0,81192300000000
0054255306,00072,11,81,1,92300000000,000000,0000,0,81192300000000
0054255306,00072,11,15,1,50102000000,000000,0000,0,15150102000000
0054255306,00129,11,81,1,92300000000,000000,0000,0,81192300000000
0054255306,00072,11,14,1,10302090000,000000,0000,0,14110302090000
0054255306,00104,12,14,1,10306030000,000000,0000,0,14110306030000
0054255306,00072,11,14,1,10302010000,000000,0000,0,14110302010000
0054255306,00129,11,72,1,50603000000,000000,0000,0,72150603000000
0054255306,00104,12,14,1,80300000000,000000,0000,0,14180300000000
0054255306,00001,11,72,1,50603000000,000000,0000,0,72150603000000
0054255306,00072,11,81,1,93703010000,000000,0000,0,81193703010000
0029331855,00391,12,81,1,30200000000,261600,0000,0,81130200000000
0019088693,00228,10,81,1,30200000000,585400,0000,0,81130200000000
0034134472,00001,13,14,1,80400000000,000000,0000,0,14180400000000
0034134472,00142,11,15,1,50102000000,000000,0000,0,15150102000000
0034134472,00001,13,84,1,40510000000,000000,0000,0,84140510000000
0034134472,00142,11,14,1,10302020000,000000,0000,0,14110302020000
0034134472,00001,13,84,1,40300000000,000000,0000,0,84140300000000
0034134472,00001,10,84,1,40201020000,001500,0000,0,84140201020000
0034134472,00142,11,72,1,50603000000,000000,0000,0,72150603000000
0034134472,00001,13,14,1,10423000000,000000,0000,0,14110423000000
0034134472,00142,11,81,1,92300000000,000000,0000,0,81192300000000
0012857349,00104,10,81,1,92500000000,000000,0000,0,81192500000000
0040885820,00002,11,81,1,30200000000,077800,0000,0,81130200000000
0040885820,00142,11,81,1,30200000000,137000,0000,0,81130200000000
0103266807,00101,09,84,1,40511000000,000000,0000,0,84140511000000
0103266807,00107,09,84,1,40900000000,000000,0000,0,84140900000000
0103266807,00101,09,81,1,80113010000,000000,0000,0,81180113010000
0103266807,00101,09,14,1,11306020000,000000,0000,0,14111306020000
0103266807,00101,09,81,1,80113020000,000000,0000,0,81180113020000
0103266807,00107,09,84,1,41000000000,000000,0000,0,84141000000000
0103266807,00101,09,14,1,81300000000,000000,0000,0,14181300000000
0103266807,00107,09,14,1,81300000000,000000,0000,0,14181300000000
0103266807,00107,09,14,1,11306020000,000000,0000,0,14111306020000
0138699242,00123,09,84,1,40511000000,000000,0000,0,84140511000000
0138699242,00123,09,81,1,80113020000,000000,0000,0,81180113020000
0138699242,00103,09,14,1,11306020000,000000,0000,0,14111306020000
0138699242,00123,09,84,1,41000000000,000000,0000,0,84141000000000
0138699242,00123,09,81,1,80113010000,000000,0000,0,81180113010000
0138699242,00123,09,72,1,50313000000,000000,0000,0,72150313000000
0138699242,00103,09,14,1,81300000000,000000,0000,0,14181300000000
0138699242,00123,09,84,1,40900000000,000000,0000,0,84140900000000
0138699242,00103,09,84,1,41000000000,000000,0000,0,84141000000000
0138699242,00123,09,14,1,11306020000,000000,0000,0,14111306020000
0138699242,00123,09,14,1,81300000000,000000,0000,0,14181300000000
0119530580,00004,09,81,1,30200000000,036900,0000,0,81130200000000
0119530580,00006,09,72,1,50613000000,000000,0000,0,72150613000000
0112495746,00001,10,14,1,10202090000,000000,0000,0,14110202090000
